"ind.row"	"ind.col"	"rnm"	"cnm"
"174"	70	17	"Bazan-CU1-B4 NOX INS"	"BAZAN HCU NOx Dry"
"175"	72	17	"Bazan-CU3 NOX INS"	"BAZAN HCU NOx Dry"
"176"	74	17	"Bazan-CU3-B201B NOX INS"	"BAZAN HCU NOx Dry"
"177"	75	17	"BAZAN-CU4 ST_NOx_INS"	"BAZAN HCU NOx Dry"
"178"	78	17	"BAZAN-FCC NOX INS"	"BAZAN HCU NOx Dry"
"179"	80	17	"BAZAN-IHDS-GO NOX INS"	"BAZAN HCU NOx Dry"
"180"	82	17	"BAZAN-ISOM NOX INS"	"BAZAN HCU NOx Dry"
"181"	84	17	"Bazan-VIS3 NOX INS"	"BAZAN HCU NOx Dry"
"182"	86	17	"BAZAN6-SO2 SO2FCC_Stat"	"BAZAN HCU NOx Dry"
"183"	88	17	"BAZAN6-SO2 SO2S3-Stat"	"BAZAN HCU NOx Dry"
"184"	89	17	"BAZAN6-SO2 SO2S4"	"BAZAN HCU NOx Dry"
"185"	90	17	"BAZAN6-SO2 SO2S4-Stat"	"BAZAN HCU NOx Dry"
"186"	94	17	"CAOL RTO Status"	"BAZAN HCU NOx Dry"
"187"	96	17	"CAOL_New Boiler1-Stat"	"BAZAN HCU NOx Dry"
"188"	97	17	"CAOL_New Boiler2-Stat"	"BAZAN HCU NOx Dry"
"189"	98	17	"CAOL_New Boiler3-Stat"	"BAZAN HCU NOx Dry"
"190"	100	17	"CAOL_New NOB2"	"BAZAN HCU NOx Dry"
"191"	101	17	"CAOL_New NOB3"	"BAZAN HCU NOx Dry"
"192"	102	17	"CAOL_New Stat_NOx_B1"	"BAZAN HCU NOx Dry"
"193"	103	17	"CAOL_New Stat_Nox_B2"	"BAZAN HCU NOx Dry"
"194"	104	17	"CAOL_New Stat_Nox_B3"	"BAZAN HCU NOx Dry"
"195"	120	17	"CAUL STAT1"	"BAZAN HCU NOx Dry"
"196"	121	17	"CAUL STAT2"	"BAZAN HCU NOx Dry"
"197"	122	17	"CAUL STAT3"	"BAZAN HCU NOx Dry"
"198"	145	17	"Flares OLDFF"	"BAZAN HCU NOx Dry"
"199"	147	17	"GADIV CTO Status"	"BAZAN HCU NOx Dry"
"200"	153	17	"GADIV_OPER PRX-start"	"BAZAN HCU NOx Dry"
"201"	154	17	"GADIV_OPER SPL_start"	"BAZAN HCU NOx Dry"
"202"	155	17	"GADIV_OPER TOL-start"	"BAZAN HCU NOx Dry"
"203"	156	17	"GADIV_OPER XYL-start"	"BAZAN HCU NOx Dry"
"204"	158	17	"Gadiv-AS2XYL1 NOX INS"	"BAZAN HCU NOx Dry"
"205"	160	17	"Gadiv-PAREX NOX INS"	"BAZAN HCU NOx Dry"
"206"	162	17	"Gadiv-TOL NOX INS"	"BAZAN HCU NOx Dry"
"207"	164	17	"Gadiv-XYl2 NOX INS"	"BAZAN HCU NOx Dry"
"208"	354	17	"OP-BZN1 OPB31-Stat"	"BAZAN HCU NOx Dry"
"209"	356	17	"OP-BZN1 STAT2"	"BAZAN HCU NOx Dry"
"210"	357	17	"OP-BZN1 STAT3"	"BAZAN HCU NOx Dry"
"211"	358	17	"OP-BZN1 STAT5"	"BAZAN HCU NOx Dry"
"212"	361	17	"OP-GADIV STAT1"	"BAZAN HCU NOx Dry"
"213"	365	17	"OP-HCU OP_HPU"	"BAZAN HCU NOx Dry"
"214"	367	17	"OP-HCU Stat-HCU"	"BAZAN HCU NOx Dry"
"215"	368	17	"OP-HCU Stat-HPU"	"BAZAN HCU NOx Dry"
"216"	405	17	"Yizraelia WDS"	"BAZAN HCU NOx Dry"
"220"	21	18	"bazan NOx emission rate B21-Nox emission rate"	"BAZAN HCU NOX INS"
"221"	25	18	"bazan NOx emission rate CU1-Nox emission rate"	"BAZAN HCU NOX INS"
"222"	27	18	"bazan NOx emission rate CU4-Nox emission rate"	"BAZAN HCU NOX INS"
"223"	28	18	"bazan NOx emission rate HCU-Nox emission rate"	"BAZAN HCU NOX INS"
"224"	29	18	"bazan NOx emission rate HDS-Nox emission rate"	"BAZAN HCU NOX INS"
"225"	30	18	"bazan NOx emission rate HPU-Nox emission rate"	"BAZAN HCU NOX INS"
"226"	31	18	"bazan NOx emission rate IHDA-GO-Nox emission rate"	"BAZAN HCU NOX INS"
"227"	36	18	"BAZAN TO-4 stat_TOC"	"BAZAN HCU NOX INS"
"228"	38	18	"BAZAN VRU activity and goals"	"BAZAN HCU NOX INS"
"229"	39	18	"BAZAN VRU CONC"	"BAZAN HCU NOX INS"
"230"	40	18	"BAZAN_HDS NOx Dry"	"BAZAN HCU NOX INS"
"231"	41	18	"BAZAN_HDS NOX INS"	"BAZAN HCU NOX INS"
"232"	42	18	"BAZAN_HPU HPU Stat"	"BAZAN HCU NOX INS"
"233"	43	18	"BAZAN_HPU NOx Dry"	"BAZAN HCU NOX INS"
"234"	44	18	"BAZAN_HPU NOX INS"	"BAZAN HCU NOX INS"
"235"	45	18	"BAZAN_Oper B11"	"BAZAN HCU NOX INS"
"236"	46	18	"BAZAN_Oper B21"	"BAZAN HCU NOX INS"
"237"	47	18	"BAZAN_Oper Benzine HDS"	"BAZAN HCU NOX INS"
"238"	48	18	"BAZAN_Oper Boiler31"	"BAZAN HCU NOX INS"
"239"	49	18	"BAZAN_Oper CCR"	"BAZAN HCU NOX INS"
"240"	50	18	"BAZAN_Oper CU.1"	"BAZAN HCU NOX INS"
"241"	51	18	"BAZAN_Oper CU.3"	"BAZAN HCU NOX INS"
"242"	52	18	"BAZAN_Oper CU.4"	"BAZAN HCU NOX INS"
"243"	53	18	"BAZAN_Oper FCC"	"BAZAN HCU NOX INS"
"244"	54	18	"BAZAN_Oper GO HDS"	"BAZAN HCU NOX INS"
"245"	55	18	"BAZAN_Oper HVGO HSD"	"BAZAN HCU NOX INS"
"246"	56	18	"BAZAN_Oper Isomer"	"BAZAN HCU NOX INS"
"247"	57	18	"BAZAN_Oper KERO HDS"	"BAZAN HCU NOX INS"
"248"	58	18	"BAZAN_Oper Vis3."	"BAZAN HCU NOX INS"
"249"	59	18	"BAZAN-B11 ST_NOx_INS"	"BAZAN HCU NOX INS"
"250"	61	18	"BAZAN-B21 NOx Dry"	"BAZAN HCU NOX INS"
"251"	62	18	"BAZAN-B21 SCR21_NOX_INS"	"BAZAN HCU NOX INS"
"252"	63	18	"BAZAN-B31 ST_NOx_INS"	"BAZAN HCU NOX INS"
"253"	66	18	"BAZAN-CCR NOX INS"	"BAZAN HCU NOX INS"
"254"	67	18	"Bazan-CU1 NOx Dry"	"BAZAN HCU NOX INS"
"255"	68	18	"Bazan-CU1 NOX INS"	"BAZAN HCU NOX INS"
"256"	70	18	"Bazan-CU1-B4 NOX INS"	"BAZAN HCU NOX INS"
"257"	72	18	"Bazan-CU3 NOX INS"	"BAZAN HCU NOX INS"
"258"	74	18	"Bazan-CU3-B201B NOX INS"	"BAZAN HCU NOX INS"
"259"	75	18	"BAZAN-CU4 ST_NOx_INS"	"BAZAN HCU NOX INS"
"260"	77	18	"BAZAN-FCC NOx Dry"	"BAZAN HCU NOX INS"
"261"	78	18	"BAZAN-FCC NOX INS"	"BAZAN HCU NOX INS"
"262"	79	18	"BAZAN-IHDS-GO NOx Dry"	"BAZAN HCU NOX INS"
"263"	80	18	"BAZAN-IHDS-GO NOX INS"	"BAZAN HCU NOX INS"
"264"	82	18	"BAZAN-ISOM NOX INS"	"BAZAN HCU NOX INS"
"265"	84	18	"Bazan-VIS3 NOX INS"	"BAZAN HCU NOX INS"
"266"	85	18	"BAZAN6-SO2 SO2FC"	"BAZAN HCU NOX INS"
"267"	86	18	"BAZAN6-SO2 SO2FCC_Stat"	"BAZAN HCU NOX INS"
"268"	88	18	"BAZAN6-SO2 SO2S3-Stat"	"BAZAN HCU NOX INS"
"269"	89	18	"BAZAN6-SO2 SO2S4"	"BAZAN HCU NOX INS"
"270"	90	18	"BAZAN6-SO2 SO2S4-Stat"	"BAZAN HCU NOX INS"
"271"	94	18	"CAOL RTO Status"	"BAZAN HCU NOX INS"
"272"	96	18	"CAOL_New Boiler1-Stat"	"BAZAN HCU NOX INS"
"273"	97	18	"CAOL_New Boiler2-Stat"	"BAZAN HCU NOX INS"
"274"	98	18	"CAOL_New Boiler3-Stat"	"BAZAN HCU NOX INS"
"275"	99	18	"CAOL_New NOB1"	"BAZAN HCU NOX INS"
"276"	100	18	"CAOL_New NOB2"	"BAZAN HCU NOX INS"
"277"	101	18	"CAOL_New NOB3"	"BAZAN HCU NOX INS"
"278"	102	18	"CAOL_New Stat_NOx_B1"	"BAZAN HCU NOX INS"
"279"	103	18	"CAOL_New Stat_Nox_B2"	"BAZAN HCU NOX INS"
"280"	104	18	"CAOL_New Stat_Nox_B3"	"BAZAN HCU NOX INS"
"281"	120	18	"CAUL STAT1"	"BAZAN HCU NOX INS"
"282"	121	18	"CAUL STAT2"	"BAZAN HCU NOX INS"
"283"	122	18	"CAUL STAT3"	"BAZAN HCU NOX INS"
