Delek TOC 36601 Sun Sep  4 01:00:00 2016
Kiryat Yam WDD 81629 Mon Oct 24 22:00:00 2016
Kiryat Yam WDD 157177 Mon Oct 24 01:00:00 2016
Kiryat Yam WDD 355027 Fri Oct 21 18:00:00 2016
Kiryat Yam WDD 150029 Mon Oct 24 03:00:00 2016
Kiryat Yam WDD 279478 Sat Oct 22 15:00:00 2016
Kiryat Yam WDD 329827 Sat Oct 22 01:00:00 2016
Kiryat Yam WDD 124829 Mon Oct 24 10:00:00 2016
Kiryat Yam WDD 290278 Sat Oct 22 12:00:00 2016
Kiryat Yam WDD 196777 Sun Oct 23 14:00:00 2016
Kiryat Yam WDD 121229 Mon Oct 24 11:00:00 2016
Kiryat Yam WDD 451486 Thu Oct 20 15:00:00 2016
Kiryat Yam WDD 160777 Mon Oct 24 00:00:00 2016
Kiryat Yam WDD 254278 Sat Oct 22 22:00:00 2016
Kiryat Yam WDD 171577 Sun Oct 23 21:00:00 2016
Kiryat Yam WDD 36601 Sun Sep  4 01:00:00 2016
Kiryat Yam WDD 139229 Mon Oct 24 06:00:00 2016
Kiryat Yam WDD 247078 Sun Oct 23 00:00:00 2016
Kiryat Yam WDD 465886 Thu Oct 20 11:00:00 2016
Kiryat Yam WDD 415486 Fri Oct 21 01:00:00 2016
Kiryat Yam WDD 311878 Sat Oct 22 06:00:00 2016
Kiryat Yam WDD 236377 Sun Oct 23 03:00:00 2016
Kiryat Yam WDD 304678 Sat Oct 22 08:00:00 2016
Kiryat Yam WDD 218377 Sun Oct 23 08:00:00 2016
Kiryat Yam WDD 225577 Sun Oct 23 06:00:00 2016
Kiryat Yam WDD 175177 Sun Oct 23 20:00:00 2016
Kiryat Yam WDD 293878 Sat Oct 22 11:00:00 2016
Kiryat Yam WDD 265078 Sat Oct 22 19:00:00 2016
Kiryat Yam WDD 333427 Sat Oct 22 00:00:00 2016
Kiryat Yam WDD 239977 Sun Oct 23 02:00:00 2016
Kiryat Yam WDD 257878 Sat Oct 22 21:00:00 2016
Kiryat Yam WDD 128429 Mon Oct 24 09:00:00 2016
Kiryat Yam WDD 211177 Sun Oct 23 10:00:00 2016
Kiryat Yam SO2 376627 Fri Oct 21 12:00:00 2016
Kiryat Yam SO2 322678 Sat Oct 22 03:00:00 2016
Kiryat Yam SO2 301078 Sat Oct 22 09:00:00 2016
Kiryat Yam SO2 207577 Sun Oct 23 11:00:00 2016
Kiryat Yam SO2 78029 Mon Oct 24 23:00:00 2016
Kiryat Yam SO2 153629 Mon Oct 24 02:00:00 2016
Kiryat Yam SO2 455086 Thu Oct 20 14:00:00 2016
Kiryat Yam SO2 358627 Fri Oct 21 17:00:00 2016
Kiryat Yam SO2 409027 Fri Oct 21 03:00:00 2016
Kiryat Yam SO2 380227 Fri Oct 21 11:00:00 2016
Kiryat Yam SO2 383827 Fri Oct 21 10:00:00 2016
Kiryat Yam SO2 412627 Fri Oct 21 02:00:00 2016
Kiryat Yam SO2 447886 Thu Oct 20 16:00:00 2016
Kiryat Yam SO2 337027 Fri Oct 21 23:00:00 2016
Kiryat Yam SO2 373027 Fri Oct 21 13:00:00 2016
Kiryat Yam SO2 221977 Sun Oct 23 07:00:00 2016
Kiryat Yam SO2 164377 Sun Oct 23 23:00:00 2016
Kiryat Yam SO2 200377 Sun Oct 23 13:00:00 2016
Kiryat Yam SO2 297478 Sat Oct 22 10:00:00 2016
Kiryat Yam SO2 433486 Thu Oct 20 20:00:00 2016
Kiryat Yam SO2 344227 Fri Oct 21 21:00:00 2016
Kiryat Yam SO2 132029 Mon Oct 24 08:00:00 2016
Kiryat Yam SO2 462286 Thu Oct 20 12:00:00 2016
Kiryat Yam SO2 146429 Mon Oct 24 04:00:00 2016
Kiryat Yam SO2 96029 Mon Oct 24 18:00:00 2016
Kiryat Yam SO2 99629 Mon Oct 24 17:00:00 2016
Kiryat Yam SO2 268678 Sat Oct 22 18:00:00 2016
Kiryat Yam SO2 128429 Mon Oct 24 09:00:00 2016
Kiryat Yam SO2 211177 Sun Oct 23 10:00:00 2016
Kiryat Yam SO2 175177 Sun Oct 23 20:00:00 2016
Kiryat Yam SO2 293878 Sat Oct 22 11:00:00 2016
Kiryat Yam SO2 265078 Sat Oct 22 19:00:00 2016
Kiryat Yam SO2 333427 Sat Oct 22 00:00:00 2016
Kiryat Yam SO2 239977 Sun Oct 23 02:00:00 2016
Kiryat Yam SO2 257878 Sat Oct 22 21:00:00 2016
Kiryat Yam SO2 415486 Fri Oct 21 01:00:00 2016
Kiryat Yam SO2 236377 Sun Oct 23 03:00:00 2016
Kiryat Yam SO2 304678 Sat Oct 22 08:00:00 2016
Kiryat Yam SO2 218377 Sun Oct 23 08:00:00 2016
Kiryat Yam SO2 36601 Sun Sep  4 01:00:00 2016
Kiryat Yam SO2 465886 Thu Oct 20 11:00:00 2016
Kiryat Yam SO2 247078 Sun Oct 23 00:00:00 2016
Kiryat Yam SO2 196777 Sun Oct 23 14:00:00 2016
Kiryat Yam SO2 121229 Mon Oct 24 11:00:00 2016
Kiryat Yam SO2 451486 Thu Oct 20 15:00:00 2016
Kiryat Yam SO2 160777 Mon Oct 24 00:00:00 2016
Kiryat Yam SO2 254278 Sat Oct 22 22:00:00 2016
Kiryat Yam SO2 171577 Sun Oct 23 21:00:00 2016
Kiryat Yam SO2 279478 Sat Oct 22 15:00:00 2016
Kiryat Yam SO2 329827 Sat Oct 22 01:00:00 2016
Kiryat Yam SO2 124829 Mon Oct 24 10:00:00 2016
Kiryat Yam SO2 290278 Sat Oct 22 12:00:00 2016
Kiryat Yam SO2 81629 Mon Oct 24 22:00:00 2016
Kiryat Yam SO2 157177 Mon Oct 24 01:00:00 2016
Kiryat Yam SO2 355027 Fri Oct 21 18:00:00 2016
Kiryat Yam SO2 150029 Mon Oct 24 03:00:00 2016
Kiryat Yam SO2 214777 Sun Oct 23 09:00:00 2016
Kiryat Yam SO2 178777 Sun Oct 23 19:00:00 2016
Kiryat Yam SO2 203977 Sun Oct 23 12:00:00 2016
Kiryat Yam SO2 437086 Thu Oct 20 19:00:00 2016
Kiryat Yam SO2 387427 Fri Oct 21 09:00:00 2016
Kiryat Yam SO2 85229 Mon Oct 24 21:00:00 2016
Kiryat Yam SO2 429886 Thu Oct 20 21:00:00 2016
Kiryat Yam SO2 308278 Sat Oct 22 07:00:00 2016
Kiryat Yam SO2 261478 Sat Oct 22 20:00:00 2016
Kiryat Yam SO2 275878 Sat Oct 22 16:00:00 2016
Kiryat Yam SO2 394627 Fri Oct 21 07:00:00 2016
Kiryat Yam SO2 92429 Mon Oct 24 19:00:00 2016
Kiryat Yam SO2 369427 Fri Oct 21 14:00:00 2016
Kiryat Yam SO2 319078 Sat Oct 22 04:00:00 2016
Kiryat Yam SO2 189577 Sun Oct 23 16:00:00 2016
Kiryat Yam SO2 444286 Thu Oct 20 17:00:00 2016
Kiryat Yam SO2 74429 Tue Oct 25 00:00:00 2016
Kiryat Yam SO2 426286 Thu Oct 20 22:00:00 2016
Kiryat Yam SO2 193177 Sun Oct 23 15:00:00 2016
Kiryat Yam SO2 405427 Fri Oct 21 04:00:00 2016
Kiryat Yam SO2 250678 Sat Oct 22 23:00:00 2016
Kiryat Yam SO2 283078 Sat Oct 22 14:00:00 2016
Kiryat Yam SO2 243478 Sun Oct 23 01:00:00 2016
Kiryat Yam SO2 286678 Sat Oct 22 13:00:00 2016
Kiryat Yam SO2 232777 Sun Oct 23 04:00:00 2016
Kiryat Yam SO2 88829 Mon Oct 24 20:00:00 2016
Kiryat Yam SO2 347827 Fri Oct 21 20:00:00 2016
Kiryat Yam SO2 440686 Thu Oct 20 18:00:00 2016
Kiryat Yam SO2 391027 Fri Oct 21 08:00:00 2016
Kiryat Yam SO2 110429 Mon Oct 24 14:00:00 2016
Kiryat Yam SO2 326278 Sat Oct 22 02:00:00 2016
Kiryat Yam SO2 340627 Fri Oct 21 22:00:00 2016
Kiryat Yam SO2 351427 Fri Oct 21 19:00:00 2016
Kiryat Yam SO2 185977 Sun Oct 23 17:00:00 2016
Kiryat Yam SO2 458686 Thu Oct 20 13:00:00 2016
Kiryat Yam SO2 167977 Sun Oct 23 22:00:00 2016
Kiryat Yam SO2 272278 Sat Oct 22 17:00:00 2016
Kiryat Yam SO2 419086 Fri Oct 21 00:00:00 2016
Kiryat Yam SO2 362227 Fri Oct 21 16:00:00 2016
Kiryat Yam SO2 135629 Mon Oct 24 07:00:00 2016
Kiryat Yam SO2 114029 Mon Oct 24 13:00:00 2016
Kiryat Yam SO2 365827 Fri Oct 21 15:00:00 2016
Kiryat Yam SO2 103229 Mon Oct 24 16:00:00 2016
Kiryat Yam SO2 117629 Mon Oct 24 12:00:00 2016
Kiryat Yam SO2 422686 Thu Oct 20 23:00:00 2016
Kiryat Yam SO2 106829 Mon Oct 24 15:00:00 2016
Kiryat Yam SO2 182377 Sun Oct 23 18:00:00 2016
Kiryat Yam WDS 146429 Mon Oct 24 04:00:00 2016
Kiryat Yam WDS 462286 Thu Oct 20 12:00:00 2016
Kiryat Yam WDS 132029 Mon Oct 24 08:00:00 2016
Kiryat Yam WDS 344227 Fri Oct 21 21:00:00 2016
Kiryat Yam WDS 268678 Sat Oct 22 18:00:00 2016
Kiryat Yam WDS 99629 Mon Oct 24 17:00:00 2016
Kiryat Yam WDS 96029 Mon Oct 24 18:00:00 2016
Kiryat Yam WDS 221977 Sun Oct 23 07:00:00 2016
Kiryat Yam WDS 373027 Fri Oct 21 13:00:00 2016
Kiryat Yam WDS 337027 Fri Oct 21 23:00:00 2016
Kiryat Yam WDS 447886 Thu Oct 20 16:00:00 2016
Kiryat Yam WDS 412627 Fri Oct 21 02:00:00 2016
Kiryat Yam WDS 433486 Thu Oct 20 20:00:00 2016
Kiryat Yam WDS 297478 Sat Oct 22 10:00:00 2016
Kiryat Yam WDS 200377 Sun Oct 23 13:00:00 2016
Kiryat Yam WDS 164377 Sun Oct 23 23:00:00 2016
Kiryat Yam WDS 455086 Thu Oct 20 14:00:00 2016
Kiryat Yam WDS 358627 Fri Oct 21 17:00:00 2016
Kiryat Yam WDS 383827 Fri Oct 21 10:00:00 2016
Kiryat Yam WDS 380227 Fri Oct 21 11:00:00 2016
Kiryat Yam WDS 409027 Fri Oct 21 03:00:00 2016
Kiryat Yam WDS 301078 Sat Oct 22 09:00:00 2016
Kiryat Yam WDS 322678 Sat Oct 22 03:00:00 2016
Kiryat Yam WDS 376627 Fri Oct 21 12:00:00 2016
Kiryat Yam WDS 153629 Mon Oct 24 02:00:00 2016
Kiryat Yam WDS 78029 Mon Oct 24 23:00:00 2016
Kiryat Yam WDS 207577 Sun Oct 23 11:00:00 2016
Kiryat Yam WDS 401827 Fri Oct 21 05:00:00 2016
Kiryat Yam WDS 290278 Sat Oct 22 12:00:00 2016
Kiryat Yam WDS 124829 Mon Oct 24 10:00:00 2016
Kiryat Yam WDS 329827 Sat Oct 22 01:00:00 2016
Kiryat Yam WDS 279478 Sat Oct 22 15:00:00 2016
Kiryat Yam WDS 150029 Mon Oct 24 03:00:00 2016
Kiryat Yam WDS 355027 Fri Oct 21 18:00:00 2016
Kiryat Yam WDS 81629 Mon Oct 24 22:00:00 2016
Kiryat Yam WDS 157177 Mon Oct 24 01:00:00 2016
Kiryat Yam WDS 465886 Thu Oct 20 11:00:00 2016
Kiryat Yam WDS 247078 Sun Oct 23 00:00:00 2016
Kiryat Yam WDS 139229 Mon Oct 24 06:00:00 2016
Kiryat Yam WDS 36601 Sun Sep  4 01:00:00 2016
